Lat,Long,Country,Tests,E+3,E+4,E+5,E+6,E+7,E+8,confidence(E-5),confidence(E-6),confidence(E-7),confidence(E-8),confidence(E-9),,,Lat,Long,Country,Tests,confidence(E-5),confidence(E-6),confidence(E-7),confidence(E-8),confidence(E-9),,Lat,Long,Country,Tests,E+3,E+4,E+5,E+6,E+7,E+8,,Country,mortality rates ,error,,Country,x,x1,Country,n,n1,
9.145,40.4897,Ethiopia,869430,0.10301373,0.10415745,0.107774213,0.119211421,0.155379047,0.269751124,0.118081241,0.104044432,0.102640752,0.102500383,0.102486155,,,21,57,Oman,309212,0.118519571,0.104088265,0.102645135,0.102500826,0.102486391,,36,138,Japan,1440826,0.103034162,0.104222062,0.107978534,0.119857541,0.157422259,0.276212329,,Moldova,0.032154341,0.003361463,,Afghanistan,0.99998109,1.89095E-05,Moldova,3477078789,16722.75479,
7.9465,-1.0232,Ghana,439246,0.103499745,0.105694366,0.112634367,0.134580576,0.203980584,0.423442679,0.123756476,0.104611956,0.102697504,0.10250606,0.102486895,,,44.0165,21.0059,Serbia,920852,0.118462408,0.104082549,0.102644562,0.102500797,0.102486155,,6,12,Cameroon,149000,0.103030217,0.104209589,0.107939091,0.119732809,0.157027822,0.274965009,,Guadeloupe,0.031372549,0.026233165,,Uzbekistan,0.999980465,1.95355E-05,Guadeloupe,3395278422,114724.7313,
6.4238,-66.5897,Venezuela,1734382,0.10328072,0.105001747,0.110444113,0.127654386,0.182078047,0.354180775,0.135632126,0.105799521,0.102816261,0.102517927,0.102488138,,,47.5162,14.5501,Austria,1160743,0.118305155,0.104066824,0.102642997,0.102500621,0.102486721,,-26.5225,31.4659,Eswatini,30007,0.103021801,0.104182974,0.107854926,0.119466657,0.156186175,0.272303488,,Austria,0.030760838,0.003740318,,Venezuela,0.999980118,1.98821E-05,Austria,3331178654,2869.867536,
41.2044,74.7661,Kyrgyzstan,267718,0.102997553,0.104106295,0.107612446,0.11869987,0.153761382,0.264635617,0.11087471,0.103323779,0.102568687,0.102493163,0.102485471,,,45.9432,24.9668,Romania,1780963,0.118157898,0.104052099,0.102641512,0.102500502,0.102484787,,14.4974,-14.4524,Senegal,143852,0.103020601,0.104179178,0.107842923,0.119428701,0.156066147,0.271923925,,Trinidad and Tobago,0.030206677,0.023136793,,Ethiopia,0.999978366,2.16341E-05,Trinidad and Tobago,3273037332,139700.2575,
46.8182,8.2275,Switzerland,1000884,0.10284543,0.103625241,0.106091221,0.113889331,0.138549123,0.21653023,0.113894371,0.103625745,0.102598886,0.102496231,0.102486721,,,9.145,40.4897,Ethiopia,869430,0.118081241,0.104044432,0.102640752,0.102500383,0.102486155,,21,78,India,40406609,0.10301962,0.104176077,0.107833114,0.119397683,0.15596806,0.271613747,,El Salvador,0.030176456,0.003734663,,Moldova,0.999977043,2.29567E-05,El Salvador,3269864560,10532.86441,
41.3775,64.5853,Uzbekistan,1377915,0.10336098,0.105255552,0.111246715,0.130192436,0.190104068,0.37956128,0.135009307,0.105737239,0.102810032,0.102517315,0.102487995,,,33.8547,35.8623,Lebanon,511468,0.116987987,0.103935107,0.102629818,0.102499295,0.102486155,,21.0079,10.9408,Mauritania,69937,0.10301659,0.104166496,0.107802818,0.119301877,0.155665094,0.270655685,,Uruguay,0.02962963,0.014799932,,Kenya,0.999976931,2.30686E-05,Uruguay,3212421794,18760.09153,
9.7489,-83.7534,Costa Rica,146047,0.103164804,0.10463519,0.109284958,0.123988816,0.170486498,0.317525079,0.110702787,0.103306587,0.102566967,0.102493008,0.102485552,,,48.669,19.699,Slovakia,332393,0.116318491,0.103868157,0.102623124,0.102498619,0.102486155,,9.145,40.4897,Ethiopia,869430,0.10301373,0.10415745,0.107774213,0.119211421,0.155379047,0.269751124,,Chile,0.028753649,0.000895803,,Serbia,0.999976369,2.36308E-05,Chile,3120262802,1318.930083,
33,65,Afghanistan,102381,0.102907971,0.103823012,0.106716626,0.115867036,0.144803173,0.236307273,0.106766709,0.102912979,0.102527607,0.102489085,0.102485271,,,39.0742,21.8243,Greece,931002,0.115834156,0.103819724,0.102618277,0.102498119,0.102486155,,-30.5595,22.9375,South Africa,3652970,0.103012863,0.104154709,0.107765544,0.119184006,0.155292354,0.269476976,,Cuba,0.02758216,0.009405286,,Costa Rica,0.999976177,2.38233E-05,Cuba,2996746444,7719.713451,
47.4116,28.3699,Moldova,207925,0.102939294,0.103922063,0.107029853,0.116857549,0.147935451,0.246212407,0.109038593,0.103140168,0.102550326,0.102491347,0.102484787,,,60.472,8.4689,Norway,686202,0.115656106,0.103801918,0.102616499,0.102497978,0.102486155,,44.0165,21.0059,Serbia,920852,0.10301131,0.104149798,0.107750015,0.1191349,0.155137068,0.268985919,,Belize,0.027368421,0.025554263,,India,0.99997498,2.50204E-05,Belize,2974177759,373405.8706,
-0.0236,37.9062,Kenya,445722,0.103077131,0.104357942,0.108408224,0.121216339,0.161719155,0.289800304,0.114990423,0.103735351,0.102609844,0.102497305,0.102486155,,,-0.0236,37.9062,Kenya,445722,0.114990423,0.103735351,0.102609844,0.102497305,0.102486155,,8.538,-80.7821,Panama,326597,0.103009178,0.104143057,0.107728696,0.119067483,0.154923874,0.268311742,,Argentina,0.027300419,0.000984774,,Ireland,0.999974359,2.56409E-05,Argentina,2966995273,2427.269953,
