Lat,Long,Country,Tests,E+3,E+4,E+5,E+6,E+7,E+8,confidence(E-5),confidence(E-6),confidence(E-7),confidence(E-8),confidence(E-9),,,Lat,Long,Country,Tests,confidence(E-5),confidence(E-6),confidence(E-7),confidence(E-8),confidence(E-9),,Lat,Long,Country,Tests,E+3,E+4,E+5,E+6,E+7,E+8,,Country,recovery rates,error,,Country,x,x1,Country,n,n1,,
9.145,40.4897,Ethiopia,869430,0.102890227,0.103766901,0.106539187,0.115305925,0.143028784,0.230696162,0.11443963,0.103680271,0.102604331,0.102496712,0.102484787,,,21,57,Oman,309212,0.11821536,0.104057844,0.102642093,0.102500517,0.102486391,,18.7357,-70.1627,Dominican Republic,363807,0.103002343,0.104121442,0.107660344,0.118851334,0.154240353,0.266150258,,Dominican Republic,0.975394526,0.001986248,,Serbia,0.999976857,2.31431E-05,Ethiopia,4369602003,5025.823819,,
7.9465,-1.0232,Ghana,439246,0.103498078,0.105689095,0.112617698,0.134527864,0.203813893,0.422915556,0.12372154,0.104608463,0.102697154,0.102506022,0.10248695,,,48.3794,31.1656,Ukraine,1516712,0.117963401,0.104032648,0.102639578,0.102500262,0.102484787,,13,122,Philippines,2515352,0.103001556,0.104118955,0.10765248,0.118826469,0.154161721,0.265901602,,Philippines,0.975317644,0.001393578,,Afghanistan,0.999976805,2.3195E-05,Denmark,4286998634,1786.172774,,
6.4238,-66.5897,Venezuela,1734382,0.103276749,0.10498919,0.110404406,0.12752882,0.181680974,0.352925119,0.135466761,0.105782984,0.102814606,0.102517786,0.102488138,,,46.2276,2.2137,France,6175223,0.116812722,0.103917583,0.102627883,0.102500262,0.102484787,,38.9637,35.2433,Turkey,6937088,0.102996088,0.104101663,0.107597798,0.118653546,0.153614892,0.264172376,,Turkey,0.974772778,0.001050285,,Belgium,0.999975024,2.4976E-05,Iraq,4205359884,2683.473505,,
41.2044,74.7661,Kyrgyzstan,267718,0.102978741,0.104046807,0.107424329,0.118104991,0.151880208,0.258686825,0.11056691,0.103292999,0.102565609,0.10249285,0.102485471,,,60.472,8.4689,Norway,686202,0.115335923,0.103769901,0.102613299,0.102497619,0.102486155,,-30.5595,22.9375,South Africa,3652970,0.1029945,0.104096642,0.10758192,0.118603337,0.153456117,0.263670284,,South Africa,0.974611159,0.00070857,,India,0.999974901,2.50995E-05,Brazil,4139168073,288.3938468,,
46.8182,8.2275,Switzerland,1000884,0.102839875,0.103607674,0.106035666,0.113713653,0.137993578,0.214773443,0.113718615,0.10360817,0.102597117,0.102496067,0.102486721,,,48.669,19.699,Slovakia,332393,0.114742833,0.103710592,0.102607368,0.102497041,0.102485972,,45.1,15.2,Croatia,165716,0.10299447,0.104096545,0.107581613,0.118602366,0.153453048,0.263660581,,Croatia,0.97460802,0.006203698,,Moldova,0.99997304,2.69601E-05,Moldova,4072925159,19588.43409,,
41.3775,64.5853,Uzbekistan,1377915,0.103386943,0.105337653,0.111506342,0.131013449,0.192700337,0.387771406,0.13597305,0.105833613,0.10281967,0.102518278,0.102488138,,,45.9432,24.9668,Romania,1780963,0.114523888,0.103688699,0.10260522,0.102497021,0.102484787,,9.7489,-83.7534,Costa Rica,146047,0.102989821,0.104081846,0.107535131,0.118455376,0.152988225,0.26219068,,Costa Rica,0.974125658,0.004178016,,Ireland,0.999971998,2.80016E-05,Lebanon,3608422411,7055.03064,,
9.7489,-83.7534,Costa Rica,146047,0.102989821,0.104081846,0.107535131,0.118455376,0.152988225,0.26219068,0.108588123,0.103095121,0.102545819,0.102490885,0.102485471,,,9.145,40.4897,Ethiopia,869430,0.11443963,0.103680271,0.102604331,0.102496712,0.102484787,,-22.3285,24.6849,Botswana,109547,0.102987814,0.104075498,0.107515057,0.118391897,0.152787487,0.26155589,,Botswana,0.973913043,0.036725043,,Brazil,0.999971786,2.82141E-05,CAR,3571912063,115067.0724,,
33,65,Afghanistan,102381,0.102867453,0.103694884,0.106311449,0.114585753,0.140751402,0.223494449,0.106356737,0.102871982,0.102523506,0.102488656,0.102484787,,,46.8182,8.2275,Switzerland,1000884,0.113718615,0.10360817,0.102597117,0.102496067,0.102486721,,-26.5225,31.4659,Eswatini,30007,0.102985117,0.104066969,0.107488086,0.118306609,0.152517781,0.260703005,,Eswatini,0.973623188,0.009148181,,Austria,0.999970197,2.98029E-05,Antigua and Barbuda,3524556046,1879763.225,,
47.4116,28.3699,Moldova,207925,0.102904734,0.103812775,0.106684255,0.115764671,0.144479468,0.235283628,0.108540254,0.103090334,0.10254534,0.102490827,0.102484787,,,3.2028,73.2207,Maldives,110249,0.113713671,0.103607675,0.102597076,0.102496015,0.102485895,,41.2044,74.7661,Kyrgyzstan,267718,0.102978741,0.104046807,0.107424329,0.118104991,0.151880208,0.258686825,,Kyrgyzstan,0.972918268,0.002747121,,USA,0.999967623,3.2377E-05,Paraguay,3413783720,18361.47461,,
-0.0236,37.9062,Kenya,445722,0.102967714,0.104011936,0.107314057,0.117756279,0.150777485,0.255199708,0.112680404,0.103504349,0.10258674,0.102494977,0.102485754,,,9.082,8.6753,Nigeria,398304,0.11296435,0.103532743,0.102589582,0.102495249,0.102485754,,60.472,8.4689,Norway,686202,0.102975373,0.104036158,0.107390651,0.117998492,0.151543431,0.257621841,,Norway,0.972534332,0.005578131,,Australia,0.999967277,3.27228E-05,Uruguay,3382443502,19752.9944,,
