Lat,Long,Country,Tests,E+3,E+4,E+5,E+6,E+7,E+8,confidence(E-5),confidence(E-6),confidence(E-7),confidence(E-8),confidence(E-9),,,Lat,Long,Country,Tests,confidence(E-5),confidence(E-6),confidence(E-7),confidence(E-8),confidence(E-9),,Lat,Long,Country,Tests,E+3,E+4,E+5,E+6,E+7,E+8,,Country,discharge rate,error,,Country,x,x1,Country,n,n1,,,,
9.145,40.4897,Ethiopia,869430,0.102651346,0.103011494,0.104150381,0.107751858,0.119140723,0.155155492,0.107395974,0.102975904,0.102533877,0.102490258,0.102484787,,,29.5,47.75,Kuwait,611639,0.109162588,0.103152566,0.102551546,0.102491488,0.102484787,,36,138,Japan,1440826,0.102699842,0.10316485,0.104635334,0.109285414,0.123990261,0.170491064,,Ireland,0.813509749,0.007682352,,Kyrgyzstan,0.999983633,1.63668E-05,Argentina,22727645376,18593.26546,,,,
7.9465,-1.0232,Ghana,439246,0.102922041,0.103867506,0.10685733,0.116311981,0.146210213,0.240756724,0.111648848,0.103401193,0.102576428,0.102493963,0.102485754,,,64,26,Finland,636019,0.109067728,0.103143082,0.102550615,0.102491203,0.102484787,,15.7835,-90.2308,Guatemala,240745,0.102698303,0.103159983,0.104619943,0.109236744,0.123836348,0.170004359,,Australia,0.812465914,0.008143398,,Switzerland,0.999982889,1.7111E-05,Egypt,22331278428,165416.8772,,,,
6.4238,-66.5897,Venezuela,1734382,0.102684127,0.103115155,0.104478184,0.108788462,0.122418759,0.16552154,0.110786471,0.103314962,0.102567765,0.102492525,0.102484787,,,60.472,8.4689,Norway,686202,0.108970898,0.103133401,0.102549641,0.102491488,0.102484787,,15.2,-86.2419,Honduras,141114,0.102697578,0.103157693,0.104612701,0.109213844,0.123763932,0.169775347,,Israel,0.811739303,0.003879177,,Uzbekistan,0.999982628,1.73721E-05,Lebanon,22301961734,43603.82611,,,,
41.2044,74.7661,Kyrgyzstan,267718,0.102722202,0.103235559,0.104858937,0.10999251,0.126226289,0.177562008,0.106369393,0.102873247,0.102523645,0.102488656,0.102484787,,,23.6345,-102.5528,Mexico,1334331,0.10882558,0.103118856,0.102548359,0.102490258,0.102484787,,60,90,Russia,36000000,0.102691861,0.103139612,0.104555527,0.109033041,0.123192185,0.167967327,,Slovenia,0.800282287,0.025096956,,Costa Rica,0.999982054,1.79458E-05,Portugal,22173963266,11218.90473,,,,
46.8182,8.2275,Switzerland,1000884,0.10270557,0.103182966,0.104692621,0.109466572,0.124563131,0.172302642,0.109469658,0.103183275,0.102554641,0.102491488,0.102484787,,,48.3794,31.1656,Ukraine,1516712,0.108735014,0.103109821,0.102547171,0.102490258,0.102484787,,53.1424,-7.6921,Ireland,824712,0.102690638,0.103135746,0.1045433,0.108994377,0.123069919,0.167580684,,Venezuela,0.797009959,0.006418285,,Afghanistan,0.999981351,1.86495E-05,Czechia,22123076546,24825.59031,,,,
41.3775,64.5853,Uzbekistan,1377915,0.102801997,0.103487893,0.105656887,0.112515849,0.134205791,0.202795411,0.114259712,0.103662279,0.102602549,0.102496712,0.102484787,,,-38.4161,-63.6167,Argentina,1222359,0.108700196,0.103106327,0.10254693,0.102491488,0.102484787,,-33.8688,151.2093,Australia,6164296,0.102690196,0.103134349,0.104538881,0.108980404,0.123025732,0.167440959,,Equatorial Guinea,0.786075693,0.019497378,,Moldova,0.999980491,1.95085E-05,Colombia,21793877245,8115.827235,,,,
9.7489,-83.7534,Costa Rica,146047,0.102648703,0.103003134,0.104123943,0.107668253,0.118876337,0.154319444,0.104465705,0.102682875,0.102504609,0.102486721,0.102484787,,,53.1424,-7.6921,Ireland,824712,0.108396384,0.103075945,0.102543906,0.102490904,0.102484787,,31,35,Israel,2217857,0.102689891,0.103133384,0.104535831,0.108970757,0.122995226,0.167344496,,Brazil,0.781606279,0.000704108,,Kenya,0.999979033,2.09667E-05,Morocco,21338168856,11284.28085,,,,
33,65,Afghanistan,102381,0.10267305,0.103080127,0.104367416,0.108438184,0.121311078,0.162018759,0.104389697,0.102675277,0.102503839,0.102486721,0.102484787,,,21,57,Oman,309212,0.108266828,0.103062991,0.10254261,0.10249059,0.102484787,,46.1512,14.9955,Slovenia,157467,0.102685342,0.103118997,0.104490336,0.108826889,0.122540275,0.165905805,,Italy,0.780294769,0.002679148,,Serbia,0.999977396,2.26036E-05,Iraq,21328310876,13609.76438,,,,
47.4116,28.3699,Moldova,207925,0.102658236,0.103033282,0.10421928,0.107969737,0.119829717,0.157334271,0.104985858,0.102734898,0.102509785,0.102487523,0.102484787,,,49.8175,15.473,Czechia,891140,0.10786374,0.103022684,0.102538535,0.102490258,0.102484787,,6.4238,-66.5897,Venezuela,1734382,0.102684127,0.103115155,0.104478184,0.108788462,0.122418759,0.16552154,,North Macedonia,0.770587001,0.011754867,,Ireland,0.999975428,2.45721E-05,Eswatini,21237386028,707747.7265,,,,
-0.0236,37.9062,Kenya,445722,0.102647222,0.102998452,0.104109139,0.107621439,0.118728307,0.153851312,0.10591414,0.102827722,0.102519065,0.102488656,0.102484787,,,31.24,36.51,Jordan,810061,0.107862169,0.103022531,0.102538535,0.102490258,0.102484787,,1.5,10,Equatorial Guinea,51944,0.102680311,0.103103089,0.10444003,0.10866781,0.122037221,0.164315015,,Nigeria,0.768961602,0.006078212,,Austria,0.99997388,2.612E-05,Suriname,20584398820,2477361.755,,,,
